provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
Anthropic,2025,interaction_pattern,static_prompt_response,3.144993894993895,26,6.0,0.5241656491656491
Anthropic,2025,interaction_pattern,environment_interaction,0.8600351037851037,26,6.0,0.14333918396418396
Anthropic,2025,interaction_pattern,multi_step_planning,0.8600351037851037,26,6.0,0.14333918396418396
Anthropic,2025,interaction_pattern,terminal_or_codebase_interaction,0.5048254985754985,16,6.0,0.08413758309591642
Anthropic,2025,interaction_pattern,multi_turn_dialogue,0.2668905168905169,7,6.0,0.04448175281508615
Anthropic,2025,interaction_pattern,computer_control,0.21229395604395604,8,6.0,0.035382326007326007
Anthropic,2025,interaction_pattern,browser_or_web_interaction,0.12528490028490027,5,6.0,0.020880816714150045
Anthropic,2025,interaction_pattern,single_turn_tool_use,0.025641025641025644,1,6.0,0.004273504273504274
Anthropic,2025,modality,text,3.7569240944240945,52,6.0,0.6261540157373491
Anthropic,2025,modality,tool_api,0.6917989417989417,15,6.0,0.11529982363315695
Anthropic,2025,modality,code,0.6383801383801384,13,6.0,0.10639668973002307
Anthropic,2025,modality,image,0.2820054945054945,10,6.0,0.04700091575091575
Anthropic,2025,modality,multimodal_mixed,0.24354395604395604,9,6.0,0.04059065934065934
Anthropic,2025,modality,document_layout,0.2087148962148962,7,6.0,0.034785816035816035
Anthropic,2025,modality,browser_ui,0.11602564102564103,5,6.0,0.01933760683760684
Anthropic,2025,modality,desktop_ui,0.0626068376068376,3,6.0,0.010434472934472935
OpenAI,2026 YTD,context_pressure,medium,1.5678733031674208,39,3.0,0.5226244343891403
OpenAI,2026 YTD,context_pressure,long_context_supporting,0.7036199095022624,12,3.0,0.23453996983408745
OpenAI,2026 YTD,context_pressure,short,0.4807692307692308,16,3.0,0.16025641025641027
OpenAI,2026 YTD,context_pressure,long_context_primary,0.16515837104072398,5,3.0,0.05505279034690799
OpenAI,2026 YTD,context_pressure,none,0.08257918552036199,3,3.0,0.027526395173453996
OpenAI,2026 YTD,domain,Coding/Engineering,0.9581394096099978,26,3.0,0.3193798032033326
OpenAI,2026 YTD,domain,General/Commonsense,0.5708090928679164,24,3.0,0.1902696976226388
OpenAI,2026 YTD,domain,Other Specialized,0.43125942684766216,24,3.0,0.14375314228255406
OpenAI,2026 YTD,domain,STEM/Math,0.27243589743589747,17,3.0,0.09081196581196582
OpenAI,2026 YTD,domain,Visual/Document,0.21051497522085758,14,3.0,0.07017165840695253
OpenAI,2026 YTD,domain,Finance,0.17789269553975437,7,3.0,0.059297565179918126
OpenAI,2026 YTD,domain,Bio/Medicine,0.14885800474035768,11,3.0,0.04961933491345256
OpenAI,2026 YTD,domain,Law,0.11001939237233355,5,3.0,0.03667313079077785
OpenAI,2026 YTD,domain,Cybersecurity,0.10084033613445378,3,3.0,0.03361344537815126
OpenAI,2026 YTD,domain,Multilingual,0.019230769230769232,1,3.0,0.006410256410256411
OpenAI,2026 YTD,headline_task_mode,Agentic,2.0,37,3.0,0.6666666666666666
OpenAI,2026 YTD,headline_task_mode,Multimodal Perception,0.4072398190045249,12,3.0,0.13574660633484162
OpenAI,2026 YTD,headline_task_mode,Generative Reasoning,0.3597285067873303,11,3.0,0.11990950226244344
