provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
Anthropic,2025-2026,interaction_pattern,human_in_the_loop,0.12021774521774521,4,8.0,0.015027218152218151
Anthropic,2025-2026,interaction_pattern,multi_step_planning,0.039938556067588324,2,8.0,0.0049923195084485405
Anthropic,2025-2026,modality,text,3.39378914096656,48,8.0,0.42422364262082
Anthropic,2025-2026,modality,code,2.10112548741581,32,8.0,0.26264068592697626
Anthropic,2025-2026,modality,tool_api,1.0552813226200324,18,8.0,0.13191016532750405
Anthropic,2025-2026,modality,image,0.8036255858836504,8,8.0,0.1004531982354563
Anthropic,2025-2026,modality,desktop_ui,0.4251693646854937,6,8.0,0.053146170585686714
Anthropic,2025-2026,modality,browser_ui,0.15680018905825358,3,8.0,0.019600023632281697
Anthropic,2025-2026,modality,multimodal_mixed,0.04823348694316436,3,8.0,0.006029185867895545
Anthropic,2025-2026,modality,document_layout,0.01597542242703533,2,8.0,0.0019969278033794163
